Model,Split,Samples,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,Internal Holdout,9468,6209,167,2989,103,0.9714828897338403,0.9738080301129235,0.983681875792142,0.9787200504413619,0.9655372067769602
Logistic Regression,Blind Test,20292,12819,391,6373,709,0.9457914449043958,0.9704012112036337,0.9475901833234772,0.9588600493679408,0.9458166425130994
SVM,Internal Holdout,9468,6054,306,2850,258,0.9404309252217997,0.9518867924528301,0.9591254752851711,0.9554924242424242,0.9321158191852162
SVM,Blind Test,20292,12540,708,6056,988,0.9164202641435049,0.9465579710144928,0.9269662921348315,0.9366596952494771,0.9121621906650191
MLP,Internal Holdout,9468,6066,307,2849,246,0.9415927334178285,0.9518280244782676,0.9610266159695817,0.9564052029956641,0.9321159948821004
MLP,Blind Test,20292,11929,698,6066,1599,0.886802680859452,0.9447216282569098,0.8818007096392667,0.9121774039380616,0.890008154014662
